Empresa,Objetos
"DRESEN QUIMICA, S.A.P.I. DE C.V.","['13', '15', '23', '28', '29', '38', '39', '13', '15', '23', '28', '29', '31', '38', '39']"
QUÍMICAS QUIMXEL S.L.,"['28', '29', '33', '34', '38', '39', '40', '43', '45', '48', '50', '51', '52', '53', '54', '55', '56', '57', '59', '63', '64', '65', '66', '68', '72', '73', '74', '75', '76', '78', '79', '80', '82', '83', '84', '85', '86', '87', '89', '91', '94', '95', '28', '29', '33', '34', '38', '39', '48', '50', '51', '52', '54', '57', '63', '66', '76']"
SARL SAINT REMY TRADING,"['2', '4', '7', '10', '11', '15', '16', '17', '18', '19', '21', '33', '52', '61', '62', '63', '71', '73', '76', '84', '85', '89', '90', '93', '95', '2', '4', '7', '10', '11', '15', '16', '17', '18', '19', '21', '33', '52', '61', '62', '63', '71', '73', '76', '84', '85', '89', '90', '93', '95']"
CBC GLOBAL BUSINESS LTD.,"['16', '22', '40', '82', '84', '85', '87', '16', '22', '40', '82', '84', '85', '87']"
"SUMINISTROS SOMAC, S.L.","['25', '28', '32', '34', '35', '38', '39', '40', '42', '48', '62', '63', '64', '65', '68', '69', '73', '82', '83', '84', '85', '87', '90', '96', '25', '28', '32', '34', '35', '38', '39', '40', '42', '48', '62', '63', '64', '65', '68', '69', '73', '82', '83', '84', '85', '87', '90', '96', '25', '28', '32', '34', '35', '38', '39', '40', '48', '62', '63', '64', '65', '68', '69', '73', '83', '42', '82', '84', '85', '87', '90', '96']"
"SLOVENSKE ENERGETICKE STROJARNE, S.A.","['84', '84', '84', '84']"
"COMERCIAL DARGONI ESPAÑA, S.L.","['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '23', '32', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '23', '32']"
"CONYCAL, S.A.","['32', '36', '38', '39', '40', '48', '49', '59', '68', '70', '72', '73', '74', '75', '76', '78', '79', '82', '83', '84', '85', '90', '91', '94', '32', '36', '38', '39', '40', '48', '49', '59', '68', '70', '72', '73', '74', '75', '76', '78', '79', '82', '83', '84', '85', '90', '91', '94', '49', '59', '68', '70', '72', '73', '74', '75', '76', '78', '79', '82', '83', '84', '85', '90', '91', '94']"
CALIPSO ENTERPRISES LTD.,"['25', '26', '27', '34', '35', '37', '38', '39', '40', '44', '45', '48', '56', '59', '61', '65', '68', '70', '72', '73', '74', '76', '78', '80', '82', '83', '84', '85', '86', '87', '88', '90', '94', '96', '25', '26', '27', '34', '35', '37', '38', '39', '40', '44', '45', '48', '56', '59', '61', '65', '68', '70', '72', '73', '74', '76', '78', '80', '82', '83', '84', '85', '86', '87', '88', '90', '94', '96', '40', '73', '84', '85', '86', '87', '88', '90']"
NORTH WORLD INDUSTRY INC.,"['4', '8', '27', '30', '32', '34', '38', '39', '40', '42', '45', '46', '48', '52', '55', '56', '68', '73', '74', '75', '76', '82', '83', '84', '85', '90', '82', '83', '84', '85', '90']"
"GOLD BLACK INVESTMENTS, S.A.","['32', '37', '38', '39', '47', '48', '49', '61', '62', '63', '65', '66', '83', '84', '85', '90', '95', '96', '97', '2', '3', '17', '18', '32', '33', '34', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '52', '56', '57', '58', '59', '61', '62', '63', '64', '65', '66', '67', '69', '70', '73', '82', '83', '84', '85', '87', '88', '90', '91', '94', '95', '96', '97']"
"PINTURAS MONTÓ, S.A.U.","['28', '32', '34', '35', '37', '38', '39', '40', '49', '63', '68', '70', '73', '76', '82', '84', '90', '96']"
"PRECISPORT, S.L.","['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '21', '22', '23', '33', '34', '38', '39', '40', '42', '43', '44', '48', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '70', '72', '73', '76', '82', '83', '84', '85', '90', '94', '95', '96', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '21', '22', '23', '33', '34', '38', '39', '40', '42', '43', '44', '48', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '70', '72', '73', '76', '82', '83', '84', '85', '90', '94', '95', '96']"
"JEAR TÉCNICA, S.A.","['13', '32', '35', '37', '39', '40', '42', '48', '56', '82', '83', '84', '90', '94', '96', '13', '32', '35', '37', '39', '40', '42', '48', '56', '82', '83', '84', '90', '94', '96', '13', '32', '35', '37', '39', '40', '42', '48', '56', '82', '83', '84', '90', '94', '96', '13', '32', '35', '37', '39', '40', '42', '48', '56', '82', '83', '84', '90', '94']"
"S.I.M.E.S ITALIA, S.R.L.","['25', '28', '29', '32', '35', '38', '39', '40', '59', '69', '70', '73', '74', '75', '76', '84', '85', '90', '94', '95', '96']"
"COMERCIAL E INDUSTRIAL TRES LIRIOS, S.A.","['2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '23', '2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '23', '2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '16', '17', '18', '19', '20', '21', '23', '2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '16', '17', '18', '19', '20', '20', '21', '23']"
"MAN ENERGY SOLUTIONS ESPAÑA, S.A.","['22', '25', '26', '27', '28', '29', '32', '34', '35', '38', '39', '40', '44', '45', '47', '48', '54', '55', '56', '63', '64', '68', '69', '70', '72', '73', '74', '76', '78', '79', '80', '81', '82', '83', '84', '85', '87', '90', '94', '96']"
MITSUBISHI CORPORATION,"['9', '75', '84', '85', '86', '87', '89', '90', '9', '75', '84', '85', '86', '87', '89', '90']"
"SISTEM COSTRUZIONI, S.R.L.","['32', '35', '38', '39', '40', '44', '68', '69', '70', '73', '74', '76', '82', '83', '84', '85', '94', '96', '32', '35', '38', '39', '40', '44', '68', '69', '70', '73', '74', '76', '82', '83', '84', '85', '94', '96', '32', '35', '38', '39', '40', '44', '68', '69', '70', '73', '74', '76', '82', '83', '84', '85', '94', '96']"
"INVERSIONES GRAJAL, S.A.","['4', '7', '8', '9', '10', '11', '13', '15', '16', '17', '18', '19', '20', '21', '22', '28', '29', '33', '38', '39', '40', '48', '49', '70', '73', '83', '84', '94', '4', '7', '8', '9', '10', '11', '13', '15', '16', '17', '18', '19', '20', '21', '22', '28', '29', '33', '38', '39', '40', '48', '49', '70', '73', '83', '84', '94', '4', '7', '8', '9', '10', '11', '13', '15', '16', '17', '18', '19', '20', '21', '22', '28', '29', '33', '38', '39', '40', '48', '49', '70', '73', '83', '84', '94', '4', '7', '8', '9', '10', '11', '13', '15', '16', '17', '18', '19', '20', '21', '22', '28', '29', '33', '38', '39', '40', '48', '49', '70', '73', '83', '84', '94']"
"ALIAM, S.A.","['25', '27', '28', '29', '30', '34', '37', '38', '39', '40', '48', '49', '54', '64', '65', '69', '70', '73', '74', '76', '78', '79', '82', '83', '84', '85', '87', '90', '91', '94', '96', '25', '27', '28', '29', '30', '34', '37', '38', '39', '40', '48', '49', '54', '64', '69', '70', '73', '74', '76', '78', '79', '82', '83', '84', '85', '87', '90', '91', '94', '96']"
"BEYA TIME (NINGBO) INTERNATIONAL TRADE CO, LTD.","['2', '3', '4', '5', '7', '9', '10', '11', '13', '18', '21', '22', '28', '29', '30', '31', '32', '33', '34', '35', '37', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '94', '95', '96']"
ALL WORLD FOODS LTD.,"['2', '4', '6', '7', '8', '9', '10', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '23', '28', '29', '32', '33', '35', '38', '39', '52', '87', '2', '4', '6', '7', '8', '9', '10', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '23', '28', '29', '32', '33', '35', '38', '39', '52']"
"CALVO SEALING, S.L. ","['25', '27', '28', '29', '32', '33', '34', '38', '39', '40', '41', '42', '45', '55', '56', '58', '59', '68', '69', '70', '72', '73', '74', '75', '76', '80', '82', '83', '84', '96']"
"LINPORT, S.A.","['25', '39', '68', '69', '70', '73', '74', '76', '82', '83', '84', '85', '94', '25', '39', '68', '69', '70', '73', '74', '76', '82', '83', '84', '85', '94', '25', '39', '68', '69', '70', '73', '74', '76', '82', '83', '84', '85', '94', '25', '39', '68', '69', '70', '73', '74', '76', '82', '83', '84', '85', '94']"
"CICLAUTO AUTOMOCION, S.L.","['32', '40', '68', '73', '82', '84', '85', '87', '90', '32', '40', '68', '73', '82', '84', '85', '87', '90', '32', '40', '68', '73', '82', '84', '85', '87', '90']"
ACHSE LATEINAMERIKA GMBH.,"['27', '28', '37', '38', '39', '40', '42', '48', '54', '55', '56', '59', '61', '64', '68', '69', '70', '73', '76', '80', '82', '83', '84', '85', '87', '90', '91', '96']"
"INVERSIONES PUCARA, S.A.","['2', '3', '4', '7', '8', '9', '10', '12', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '24', '30', '32', '33', '34', '36', '37', '38', '39', '40', '42', '45', '47', '48', '52', '56', '57', '63', '66', '69', '70', '71', '72', '73', '74', '75', '79', '80', '81', '82', '83', '91', '96', '2', '3', '4', '7', '8', '9', '10', '12', '15', '16', '17', '18', '19', '20', '21', '22', '24', '32', '33', '34', '36', '37', '38', '39', '42', '48', '63', '69', '70', '71', '73', '82', '84', '85', '87', '90', '91', '2', '3', '4', '8', '9', '12', '15', '16', '17', '18', '19', '20', '21', '22', '24', '32', '33', '34', '36', '37', '39', '42', '48', '63', '69', '70', '71', '73', '82', '84', '85', '87', '90', '91', '2', '3', '4', '8', '9', '12', '15', '16', '17', '18', '19', '20', '21', '22', '24', '32', '33', '34', '36', '37', '39', '42', '71', '85', '87', '90', '91']"
FUYANSA INTERNATIONAL CO. LTD.,"['29', '32', '33', '34', '35', '38', '39', '40', '42', '43', '44', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '67', '68', '70', '71', '72', '73', '74', '76', '78', '79', '80', '82', '83', '84', '85', '86', '87', '90', '94', '95', '96']"
"QINGDAO HAINERGY TECHNOLOGY CORP., LTD.","['84', '85', '90', '94', '95']"
"PAM INTERNATIONAL, N. V.","['84', '85']"
"MSC FÁBRICAS AGRÍCOLAS, S.L.","['39', '72', '73', '84', '39', '72', '73', '84', '39', '72', '73', '84', '39', '72', '73', '84']"
"GIRBAU, S.A.","['27', '32', '34', '39', '40', '59', '60', '63', '73', '83', '84', '85', '90', '91', '27', '32', '34', '39', '40', '59', '60', '63', '73', '83', '84', '85', '90', '91', '27', '32', '34', '39', '40', '59', '60', '63', '73', '83', '84', '85', '90', '91', '34', '84']"
PETROPLASTICS AND CHEMICALS LIMITED,"['7', '9', '21', '22', '28', '29', '30', '31', '32', '34', '35', '38', '39', '42', '43', '47', '48', '72', '73', '74', '75', '76', '79', '84']"
"DISTRIBUIDORA AMASA, S.A. DE C.V. ","['12', '15', '18', '19', '25', '27', '28', '32', '34', '35', '36', '38', '39', '40', '42', '44', '45', '48', '49', '53', '54', '56', '59', '61', '62', '63', '65', '66', '69', '70', '72', '73', '74', '76', '78', '79', '80', '82', '83', '84']"
UNITED PRODUCTS LIMITED,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '29', '30', '32', '33', '34', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '52', '53', '54', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67', '68', '69', '70', '71', '73', '76', '79', '82', '83', '84', '85', '87', '90', '91', '94', '95', '96', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '29', '30', '32', '33', '34', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '52', '53', '54', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67', '68', '69', '70', '71', '73', '76', '79', '82', '83', '84', '85', '87', '90', '91', '94', '95', '96', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '29', '30', '32', '33', '34', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '52', '53', '54', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67', '68', '69', '70', '71', '73', '76', '79', '82', '83', '84', '85', '87', '90', '91', '94', '95', '96']"
"EURICOM, S.P.A.","['2', '3', '4', '7', '8', '9', '10', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '23', '32', '39', '48', '72', '73', '74', '76', '82', '83', '84', '85', '90', '2', '3', '4', '7', '8', '9', '10', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '23', '32', '39', '48', '72', '73', '74', '76', '82', '83', '84', '85', '90', '2', '3', '4', '7', '10', '11', '12', '15', '16', '18', '19', '20', '21', '22', '76', '84', '85', '90']"
"FUTURA SYSTEMS, S.L.","['39', '39', '39', '39']"
"N.S.V., S.L.","['25', '27', '32', '34', '35', '38', '39', '40', '42', '44', '48', '53', '54', '56', '59', '61', '62', '63', '64', '65', '66', '68', '69', '70', '72', '73', '74', '76', '80', '82', '83', '84', '85', '87', '90', '93', '94', '96', '25', '27', '32', '34', '35', '38', '39', '40', '42', '44', '48', '53', '54', '56', '59', '61', '62', '63', '64', '65', '66', '68', '69', '70', '72', '73', '74', '76', '80', '82', '83', '84', '85', '87', '90', '93', '94', '96']"
"COMERCIAL DE LA INDUSTRIA IMPORTACIÓN EXPORTACIÓN, S.A. (CINIESA)","['25', '26', '27', '28', '32', '39', '40', '42', '45', '48', '56', '61', '63', '64', '65', '68', '69', '70', '72', '73', '74', '76', '79', '80', '81', '82', '83', '84', '85', '86', '87', '90', '91', '94', '96']"
"COMPAÑÍA DE COMERCIO EXTERIOR ALLWE, S.A.","['27', '38', '39', '40', '44', '68', '72', '73', '84', '85', '86', '88', '89', '90', '27', '38', '39', '40', '44', '68', '72', '73', '84', '85', '86', '88', '89', '90']"
"GRUPO EXPORTADOR E IMPORTADOR DE PRODUCTOS PLÁSTICOS, S.A. DE C.V.","['8', '10', '11', '13', '17', '18', '19', '20', '21', '22', '23', '24', '25', '27', '28', '29', '30', '32', '33', '34', '35', '37', '38', '39', '40', '41', '42', '43', '44', '46', '48', '49', '50', '53', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '68', '69', '70', '72', '73', '74', '76', '80', '82', '83', '84', '85', '87', '90', '91', '94', '95', '96']"
"QUÍMICAS MERISTEM, S.L.","['31', '38', '39', '31', '38', '39', '31', '38', '39', '31', '38', '39']"
"DRIZORO, S.A.","['32', '39', '40', '54', '76', '82', '84', '96', '32', '39', '40', '54', '76', '82', '84', '96', '32', '39', '40', '54', '76', '82', '84', '96']"
"LOMISA DISTRIBUCIONES Y PROYECTOS, S.L.","['15', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '47', '48', '50', '51', '52', '53', '54', '55', '56', '57', '58', '63', '68', '69', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '90', '92', '94', '95', '96', '15', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '48', '50', '51', '52', '53', '54', '55', '56', '57', '58', '63', '68', '69', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '90', '92', '94', '95', '96']"
"HYDRO DIFUSIÓN, S.L.","['28', '32', '38', '39', '82', '84', '90']"
"BELLO ALIMENTOS, LTDA.","['2', '16']"
"JULSA INDUSTRIAL, S.A.","['13', '25', '26', '27', '28', '29', '32', '33', '35', '38', '39', '40', '59', '68', '69', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '87', '90', '91', '94']"
"VARESE EXPORT, S.R.L.","['28', '39', '68', '69', '70', '72', '73', '76', '82', '83', '84', '85', '86', '90', '94']"
"ZUKER, S.A. DE C.V.","['21', '25', '26', '27', '28', '29', '31', '32', '35', '38', '39', '44', '47', '70', '72', '73', '74', '75', '76', '78', '79', '80', '84', '85', '87', '90']"
"REVIM CARIBE, S.L.","['25', '28', '32', '33', '34', '35', '38', '39', '42', '56', '62', '70', '73', '76', '84', '85', '90', '94', '96', '25', '28', '32', '33', '34', '35', '38', '39', '42', '62', '70', '73', '76', '84', '85', '90', '94', '25', '28', '32', '33', '34', '35', '38', '39', '42', '62', '70', '73', '76', '84', '85', '90', '94']"
"MIGUEL TORRES, S.A.","['15', '22', '15', '22', '15', '22']"
"LOTUM, S.A.","['25', '27', '29', '32', '34', '35', '38', '39', '40', '48', '54', '68', '70', '73', '76', '82', '84', '85', '90', '96', '25', '27', '29', '32', '34', '35', '38', '39', '40', '48', '54', '68', '70', '73', '76', '82', '84', '85', '90', '96', '25', '27', '29', '32', '34', '35', '38', '39', '40', '48', '54', '68', '70', '73', '76', '82', '84', '85', '90', '96', '25', '27', '29', '32', '34', '35', '38', '39', '40', '48', '54', '68', '70', '73', '76', '82', '84', '85', '90', '96']"
"ZEPOL MARÍN, S.A.","['25', '27', '32', '35', '38', '39', '40', '48', '68', '70', '72', '73', '74', '76', '78', '82', '83', '84', '85', '87', '90', '91', '94', '96']"
"ALLUSI, S.A.","['25', '27', '28', '29', '32', '34', '35', '38', '39', '40', '48', '49', '56', '59', '61', '62', '63', '68', '70', '72', '73', '74', '76', '78', '80', '82', '83', '84', '85', '87', '90', '91', '94', '96']"
TOP SPORT HOLDINGS LIMITED,"['2', '3', '4', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '18', '19', '20', '21', '22', '23', '24', '27', '29', '32', '33', '34', '35', '37', '38', '39', '40', '41', '42', '43', '44', '47', '48', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '73', '76', '81', '82', '83', '84', '85', '87', '90', '91', '94', '95', '96', '2', '3', '4', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '18', '19', '20', '21', '22', '23', '24', '27', '29', '32', '33', '34', '35', '37', '38', '39', '40', '41', '42', '43', '44', '47', '48', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '73', '76', '81', '82', '83', '84', '85', '87', '90', '91', '94', '95', '96', '2', '3', '4', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '18', '19', '20', '21', '22', '23', '24', '27', '29', '32', '33', '34', '35', '37', '38', '39', '40', '41', '42', '43', '44', '47', '48', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '73', '76', '81', '82', '83', '84', '85', '87', '90', '91', '94', '95', '96', '2', '3', '4', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '18', '19', '20', '21', '22', '23', '24', '27', '29', '32', '33', '34', '35', '37', '38', '39', '40', '41', '42', '43', '44', '47', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '69', '70', '71', '81', '82', '83', '84', '87', '90', '91', '94', '95', '96']"
"TOMA, S.P.A.","['25', '27', '32', '35', '38', '39', '40', '44', '45', '46', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '63', '64', '65', '66', '67', '68', '69', '70', '72', '73', '74', '76', '82', '83', '84', '85', '90', '91', '94', '95', '96', '97']"
"COMERCIAL TAKE OFF, S.A. / VNIIRA OVD","['39', '40', '57', '58', '59', '84', '85', '88', '90', '91']"
BRYTESIDE TECH. INC.,"['16', '19', '20', '21', '22', '27', '40', '70', '72', '73', '74', '75', '76', '79', '80', '81', '82', '83', '84', '85', '87', '89', '90', '94', '96', '16', '19', '20', '21', '22', '27', '40', '70', '72', '73', '74', '75', '76', '79', '80', '81', '82', '83', '84', '85', '87', '89', '90', '94', '96', '27', '40', '70', '72', '73', '74', '75', '76', '79', '80', '81', '82', '83', '84', '85', '87', '90', '94', '96']"
"OPERATORI MOVIMENTI TERRA LAGUNARI – O.M.T.L., S.R.L.","['2', '3', '4', '7', '8', '9', '12', '13', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '26', '27', '28', '29', '30', '32', '33', '34', '38', '39', '40', '42', '43', '44', '48', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '68', '69', '70', '72', '73', '74', '75', '76', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '94', '96', '2', '3', '4', '7', '8', '9', '12', '13', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '26', '27', '28', '29', '30', '32', '33', '34', '38', '39', '40', '42', '43', '44', '48', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '68', '69', '70', '72', '73', '74', '75', '76', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '94', '96', '2', '3', '4', '7', '8', '9', '12', '13', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '26', '27', '28', '29', '30', '32', '33', '34', '38', '39', '40', '42', '43', '44', '48', '50', '51', '52', '53', '54', '55', '57', '58', '59', '60', '61', '62', '63', '68', '69', '70', '72', '73', '74', '75', '76', '82', '83', '84', '85', '86', '87', '89', '90', '91', '94', '96']"
